"Time stamp","Value","Events","Comment","User"
"07/07/2023 11:14:37","1.015,49","","",""
"07/07/2023 11:04:37","1.020,24","","",""
"07/07/2023 10:54:37","1.030,62","","",""
"07/07/2023 10:44:37","1.044,29","","",""
"07/07/2023 10:14:37","1.028,78","","",""
"07/07/2023 10:04:37","1.015,75","","",""
"07/07/2023 09:54:37","998,85","","",""
"07/07/2023 09:44:37","997,12","","",""
"07/07/2023 09:14:37","990,19","","",""
"07/07/2023 09:04:37","986,62","","",""
"07/07/2023 08:54:37","978,94","","",""
"07/07/2023 08:44:37","975,82","","",""
"07/07/2023 08:14:37","980,82","","",""
"07/07/2023 08:04:37","979,09","","",""
"07/07/2023 07:54:37","977,74","","",""
"07/07/2023 07:44:37","973,36","","",""
"07/07/2023 07:14:37","979,71","","",""
"07/07/2023 07:04:37","981,26","","",""
"07/07/2023 06:54:37","983,63","","",""
"07/07/2023 06:44:37","980,28","","",""
"07/07/2023 06:14:37","967,21","","",""
"07/07/2023 06:04:37","971,04","","",""
"07/07/2023 05:54:37","979,61","","",""
"07/07/2023 05:44:37","979,52","","",""
"07/07/2023 05:14:37","972,67","","",""
"07/07/2023 05:04:37","975,20","","",""
"07/07/2023 04:54:37","981,08","","",""
"07/07/2023 04:44:37","982,13","","",""
"07/07/2023 04:14:37","972,22","","",""
"07/07/2023 04:04:37","978,13","","",""
"07/07/2023 03:54:37","982,31","","",""
"07/07/2023 03:44:37","983,77","","",""
"07/07/2023 03:14:37","973,05","","",""
"07/07/2023 03:04:37","977,48","","",""
"07/07/2023 02:54:37","982,75","","",""
"07/07/2023 02:44:37","983,42","","",""
"07/07/2023 02:14:37","980,17","","",""
"07/07/2023 02:04:37","978,45","","",""
"07/07/2023 01:54:37","981,10","","",""
"07/07/2023 01:44:37","984,72","","",""
"07/07/2023 01:14:37","984,09","","",""
"07/07/2023 01:04:37","979,74","","",""
"07/07/2023 00:54:37","979,07","","",""
"07/07/2023 00:44:37","987,28","","",""
"07/07/2023 00:14:37","986,59","","",""
"07/07/2023 00:04:37","981,42","","",""
