"Time stamp","Value","Events","Comment","User"
"07/07/2023 10:20:00","59,71","","",""
"07/07/2023 10:10:00","59,19","","",""
"07/07/2023 10:00:00","59,32","","",""
"07/07/2023 09:50:00","58,98","","",""
"07/07/2023 09:40:00","60,11","","",""
"07/07/2023 09:30:00","59,90","","",""
"07/07/2023 09:20:00","59,74","","",""
"07/07/2023 09:10:00","58,82","","",""
"07/07/2023 09:00:00","59,63","","",""
"07/07/2023 08:50:00","59,54","","",""
"07/07/2023 08:40:00","59,18","","",""
"07/07/2023 08:30:00","58,68","","",""
"07/07/2023 08:20:00","59,13","","",""
"07/07/2023 08:10:00","58,63","","",""
"07/07/2023 08:00:00","58,24","","",""
"07/07/2023 07:50:00","59,49","","",""
"07/07/2023 07:40:00","58,25","","",""
"07/07/2023 07:30:00","58,63","","",""
"07/07/2023 07:20:00","58,11","","",""
"07/07/2023 07:10:00","59,36","","",""
"07/07/2023 07:00:00","58,20","","",""
"07/07/2023 06:50:00","58,51","","",""
"07/07/2023 06:40:00","58,73","","",""
"07/07/2023 06:30:00","59,18","","",""
"07/07/2023 06:20:00","59,22","","",""
"07/07/2023 06:10:00","58,31","","",""
"07/07/2023 06:00:00","59,23","","",""
"07/07/2023 05:50:00","58,33","","",""
"07/07/2023 05:40:00","58,08","","",""
"07/07/2023 05:30:00","59,51","","",""
"07/07/2023 05:20:00","58,93","","",""
"07/07/2023 05:10:00","58,79","","",""
"07/07/2023 05:00:00","59,90","","",""
"07/07/2023 04:50:00","59,05","","",""
"07/07/2023 04:40:00","59,28","","",""
"07/07/2023 04:30:00","59,00","","",""
"07/07/2023 04:20:00","59,09","","",""
"07/07/2023 04:10:00","58,72","","",""
"07/07/2023 04:00:00","58,61","","",""
"07/07/2023 03:50:00","58,69","","",""
"07/07/2023 03:40:00","59,83","","",""
"07/07/2023 03:30:00","57,88","","",""
"07/07/2023 03:20:00","57,85","","",""
"07/07/2023 03:10:00","58,25","","",""
"07/07/2023 03:00:00","58,06","","",""
"07/07/2023 02:50:00","57,48","","",""
"07/07/2023 02:40:00","59,23","","",""
"07/07/2023 02:30:00","56,91","","",""
"07/07/2023 02:20:00","56,92","","",""
"07/07/2023 02:10:00","57,99","","",""
"07/07/2023 02:00:00","56,79","","",""
"07/07/2023 01:50:00","57,35","","",""
"07/07/2023 01:40:00","57,73","","",""
"07/07/2023 01:30:00","58,27","","",""
"07/07/2023 01:20:00","58,15","","",""
"07/07/2023 01:10:00","58,44","","",""
"07/07/2023 01:00:00","58,38","","",""
"07/07/2023 00:50:00","58,04","","",""
"07/07/2023 00:40:00","57,78","","",""
"07/07/2023 00:30:00","57,07","","",""
"07/07/2023 00:20:00","56,90","","",""
"07/07/2023 00:10:00","58,29","","",""
"07/07/2023 00:00:00","58,73","","",""
"06/07/2023 23:50:00","57,83","","",""
"06/07/2023 23:40:00","59,02","","",""
"06/07/2023 23:30:00","58,87","","",""
"06/07/2023 23:20:00","57,77","","",""
"06/07/2023 23:10:00","57,84","","",""
"06/07/2023 23:00:00","56,87","","",""
"06/07/2023 22:50:00","57,10","","",""
"06/07/2023 22:40:00","58,31","","",""
"06/07/2023 22:30:00","58,00","","",""
"06/07/2023 22:20:00","57,66","","",""
"06/07/2023 22:10:00","56,72","","",""
"06/07/2023 22:00:00","57,40","","",""
"06/07/2023 21:50:00","57,91","","",""
"06/07/2023 21:40:00","57,87","","",""
"06/07/2023 21:30:00","58,02","","",""
"06/07/2023 21:20:00","57,85","","",""
"06/07/2023 21:10:00","58,13","","",""
"06/07/2023 21:00:00","58,94","","",""
"06/07/2023 20:50:00","57,94","","",""
"06/07/2023 20:40:00","57,56","","",""
"06/07/2023 20:30:00","58,05","","",""
"06/07/2023 20:20:00","58,51","","",""
"06/07/2023 20:10:00","57,39","","",""
"06/07/2023 20:00:00","56,49","","",""
"06/07/2023 19:50:00","56,50","","",""
"06/07/2023 19:40:00","56,84","","",""
"06/07/2023 19:30:00","57,49","","",""
"06/07/2023 19:20:00","56,72","","",""
